"","A01 (Negative Control)","A02 (L-Arabinose)","A03 (N-Acetyl-D-Glucosamine)","A04 (D-Saccharic Acid)","A05 (Succinic Acid)","A06 (D-Galactose)","A07 (L-Aspartic Acid)","A08 (L-Proline)","A09 (D-Alanine)","A10 (D-Trehalose)","A11 (D-Mannose)","A12 (Dulcitol)","B01 (D-Serine)","B02 (D-Sorbitol)","B03 (Glycerol)","B04 (L-Fucose)","B05 (D-Glucuronic Acid)","B06 (D-Gluconic Acid)","B07 (D,L-a-Glycerol-Phosphate)","B08 (D-Xylose)","B09 (L-Lactic Acid)","B10 (Sodium Formate)","B11 (D-Mannitol)","B12 (L-Glutamic Acid)","C01 (D-Glucose-6-Phosphate)","C02 (D-Galactonic Acid-g-Lactone)","C03 (D,L-Malic Acid)","C04 (D-Ribose)","C05 (Tween 20)","C06 (L-Rhamnose)","C07 (D-Fructose)","C08 (Acetic Acid)","C09 (D-Glucose)","C10 (D-Maltose)","C11 (D-Melibiose)","C12 (Thymidine)","D01 (L-Asparagine)","D02 (D-Aspartic Acid)","D03 (D-Glucosaminic Acid)","D04 (1,2-Propanediol)","D05 (Tween 40)","D06 (a-Keto-Glutaric Acid)","D07 (a-Keto-Butyric Acid)","D08 (a-Methyl-D-Galactoside)","D09 (a-D-Lactose)","D10 (Lactulose)","D11 (Sucrose)","D12 (Uridine)","E01 (L-Glutamine)","E02 (m-Tartaric Acid)","E03 (a-D-Glucose-1-Phosphate)","E04 (D-Fructose-6-Phosphate)","E05 (Tween 80)","E06 (a-Hydroxy-Glutaric Acid-g-Lactone)","E07 (a-Hydroxy-Butyric Acid)","E08 (b-Methyl-D-Glucoside)","E09 (Adonitol)","E10 (Maltotriose)","E11 (2'-Deoxy-Adenosine)","E12 (Adenosine)","F01 (Gly-Asp)","F02 (Citric Acid)","F03 (myo-Inositol)","F04 (D-Threonine)","F05 (Fumaric Acid)","F06 (Bromo-Succinic Acid)","F07 (Propionic Acid)","F08 (Mucic Acid)","F09 (Glycolic Acid)","F10 (Glyoxylic Acid)","F11 (D-Cellobiose)","F12 (Inosine)","G01 (Gly-Glu)","G02 (Tricarballylic Acid)","G03 (L-Serine)","G04 (L-Threonine)","G05 (L-Alanine)","G06 (Ala-Gly)","G07 (Acetoacetic Acid)","G08 (N-Acetyl-b-D-Mannosamine)","G09 (Mono-Methyl Succinate)","G10 (Methyl Pyruvate)","G11 (D-Malic Acid)","G12 (L-Malic Acid)","H01 (Gly-Pro)","H02 (p-Hydroxy-Phenylacetic Acid)","H03 (m-Hydroxy-Phenylacetic Acid)","H04 (Tyramine)","H05 (D-Psicose)","H06 (L-Lyxose)","H07 (Glucuronamide)","H08 (Pyruvic Acid)","H09 (L-Galactonic Acid-g-Lactone)","H10 (D-Galacturonic Acid)","H11 (b-Phenylethylamine)","H12 (Ethanolamine)"
"NRRL 2217 replicate 1",NA,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,NA,NA,TRUE,NA,TRUE,NA,FALSE,TRUE,TRUE,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,NA,NA,NA,FALSE,FALSE,NA,TRUE,TRUE,TRUE,NA,NA,FALSE,FALSE,TRUE,NA,NA,NA,FALSE,NA,TRUE,NA,TRUE,TRUE,TRUE,FALSE,NA,FALSE,NA,TRUE,FALSE,NA,NA,NA,NA,NA,TRUE,NA,NA,TRUE,NA,TRUE,NA,NA,NA,TRUE,TRUE,TRUE
"NRRL 2217 replicate 2",FALSE,TRUE,TRUE,NA,NA,TRUE,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,TRUE,NA,FALSE,TRUE,NA,NA,FALSE,NA,TRUE,FALSE,TRUE,TRUE,NA,NA,TRUE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,NA,TRUE,TRUE,NA,TRUE,NA,FALSE,NA,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,NA,TRUE,FALSE,NA,TRUE,NA,NA,NA,NA,TRUE,TRUE,FALSE,TRUE,TRUE,NA,FALSE,NA,FALSE,TRUE,TRUE,FALSE,NA,NA,FALSE,NA,NA,TRUE,NA,TRUE,TRUE,NA,TRUE,FALSE,TRUE,NA,TRUE,TRUE,TRUE
"NRRL 2217 replicate 3",FALSE,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,NA,TRUE,TRUE,NA,TRUE,NA,FALSE,TRUE,NA,FALSE,FALSE,NA,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,NA,NA,FALSE,NA,TRUE,NA,FALSE,FALSE,NA,TRUE,TRUE,NA,TRUE,NA,NA,FALSE,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,TRUE,TRUE
"NRRL 3483 replicate 1",FALSE,TRUE,NA,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA
"NRRL 3483 replicate 2",FALSE,TRUE,NA,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"NRRL 3483 replicate 3",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,NA,NA,TRUE,NA,TRUE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,NA,NA,FALSE,NA
"NRRL 3488 replicate 1",FALSE,TRUE,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"NRRL 3488 replicate 2",FALSE,TRUE,NA,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,TRUE,NA
"NRRL 3488 replicate 3",FALSE,TRUE,NA,NA,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,NA,FALSE
"NRRL 471 replicate 1",FALSE,TRUE,NA,NA,FALSE,TRUE,NA,NA,TRUE,NA,TRUE,TRUE,NA,TRUE,NA,NA,NA,TRUE,NA,TRUE,NA,NA,TRUE,NA,NA,NA,NA,TRUE,NA,TRUE,TRUE,FALSE,TRUE,NA,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,TRUE,NA,TRUE,NA,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,NA,TRUE,FALSE,NA,NA,NA,NA,TRUE
